id,sensortype,data
3131,Gas,808
3132,Temp,24
3133,Humid,19
3134,Gas,807
3135,Temp,24
3136,Humid,30
3137,Gas,809
3138,Temp,24
3139,Humid,30
3140,Gas,809
3141,Temp,24
3142,Humid,30
3143,Gas,807
3144,Temp,24
3145,Humid,30
3146,Gas,808
3147,Temp,24
3148,Humid,24
3149,Gas,808
3150,Temp,24
3151,Humid,30
3152,Gas,807
3153,Temp,24
3154,Humid,17
3155,Gas,806
3156,Temp,20
3157,Humid,28
3158,Gas,806
3159,Temp,24
3160,Humid,17
3161,Gas,805
3162,Temp,24
3163,Humid,17
3164,Gas,805
3165,Humid,20
3166,Gas,806
3167,Temp,24
3168,Humid,19
3169,Gas,809
3170,Temp,24
3171,Humid,17
3172,Gas,804
3173,Temp,27
3174,Humid,15
3175,Gas,802
3176,Temp,24
3177,Humid,19
3178,Gas,802
3179,Temp,24
3180,Humid,17
3181,Temp,25
3182,Humid,18
3183,Gas,874
3184,Temp,24
3185,Humid,18
3186,Gas,886
3187,Temp,24
3188,Humid,34
3189,Gas,880
3190,Temp,27
3191,Humid,17
3192,Gas,872
3193,Temp,24
3194,Humid,17
3195,Gas,868
3196,Temp,24
3197,Humid,19
3198,Gas,866
3199,Temp,24
3200,Humid,36
3201,Gas,864
3202,Temp,24
3203,Humid,33
3204,Gas,860
3205,Temp,24
3206,Humid,19
3207,Gas,859
3208,Temp,27
3209,Humid,17
3210,Gas,855
3211,Temp,24
3212,Humid,28
3213,Gas,855
3214,Temp,24
3215,Humid,37
3216,Gas,850
3217,Temp,24
3218,Humid,33
3219,Gas,853
3220,Temp,24
3221,Humid,22
3222,Gas,850
3223,Temp,24
3224,Humid,19
3225,Gas,849
3226,Temp,27
3227,Humid,17
3228,Gas,848
3229,Temp,24
3230,Humid,39
3231,Gas,846
3232,Temp,24
3233,Humid,19
3234,Gas,846
3235,Temp,24
3236,Humid,35
3237,Gas,845
3238,Temp,24
3239,Humid,33
3240,Gas,845
3241,Temp,27
3242,Humid,20
3243,Gas,843
3244,Temp,24
3245,Humid,33
3246,Gas,842
3247,Temp,24
3248,Humid,31
3249,Gas,841
3250,Temp,24
3251,Humid,19
3252,Gas,841
3253,Temp,24
3254,Humid,20
3255,Gas,836
3256,Temp,24
3257,Humid,19
3258,Gas,840
3259,Temp,24
3260,Humid,31
3261,Gas,838
3262,Temp,24
3263,Humid,18
3264,Gas,837
3265,Temp,24
3266,Humid,33
3267,Gas,836
3268,Temp,25
3269,Humid,18
3270,Gas,835
3271,Temp,27
3272,Humid,20
3273,Gas,835
3274,Temp,24
3275,Humid,19
3276,Gas,834
3277,Temp,25
3278,Humid,18
3279,Gas,834
3280,Temp,24
3281,Humid,25
3282,Gas,834
3283,Temp,24
3284,Humid,38
3285,Gas,832
3286,Temp,27
3287,Humid,32
3288,Gas,833
3289,Temp,24
3290,Humid,32
3291,Gas,832
3292,Temp,25
3293,Humid,33
3294,Gas,832
3295,Temp,25
3296,Humid,33
3297,Gas,832
3298,Temp,25
3299,Humid,18
3300,Gas,831
3301,Temp,25
3302,Humid,37
3303,Gas,831
3304,Temp,25
3305,Humid,18
3306,Gas,831
3307,Temp,24
3308,Humid,32
3309,Gas,829
3310,Temp,20
3311,Humid,19
3312,Gas,829
3313,Temp,25
3314,Gas,829
3315,Humid,34
3316,Temp,28
3317,Humid,18
3318,Gas,826
3319,Temp,24
3320,Humid,19
3321,Gas,826
3322,Temp,20
3323,Humid,18
3324,Gas,826
3325,Temp,25
3326,Humid,18
3327,Gas,825
3328,Temp,24
3329,Humid,36
3330,Gas,825
3331,Temp,25
3332,Humid,31
3333,Gas,825
3334,Temp,25
3335,Humid,18
3336,Gas,825
3337,Temp,25
3338,Humid,24
3339,Gas,824
3340,Temp,24
3341,Humid,18
3342,Gas,822
3343,Temp,25
3344,Humid,18
3345,Gas,823
3346,Temp,25
